,Year-Week,Total incidence
0,2003-42,0.36
1,2003-43,0.47
2,2003-44,0.52
3,2003-45,0.6
4,2003-46,0.59
5,2003-47,0.7
6,2003-48,0.64
7,2003-49,0.8
8,2003-50,0.99
9,2003-51,1.3
10,2003-52,1.32
11,2004-01,1.71
12,2004-02,2.17
13,2004-03,2.82
14,2004-04,3.67
15,2004-05,4.4
16,2004-06,4.83
17,2004-07,4.75
18,2004-08,4.62
19,2004-09,4.0
20,2004-10,3.56
21,2004-11,3.29
22,2004-12,2.74
23,2004-13,2.15
24,2004-14,1.68
25,2004-15,1.2
26,2004-16,0.77
27,2004-17,0.6
28,2004-42,0.25
29,2004-43,0.37
30,2004-44,0.29
31,2004-45,0.37
32,2004-46,0.46
33,2004-47,0.64
34,2004-48,0.65
35,2004-49,0.78
36,2004-50,0.84
37,2004-51,1.24
38,2004-52,1.78
39,2004-53,2.9
40,2005-01,3.49
41,2005-02,5.07
42,2005-03,7.89
43,2005-04,11.34
44,2005-05,13.73
45,2005-06,14.59
46,2005-07,12.72
47,2005-08,9.51
48,2005-09,6.9
49,2005-10,4.95
50,2005-11,3.42
51,2005-12,2.05
52,2005-13,1.19
53,2005-14,0.9
54,2005-15,0.65
55,2005-16,0.48
56,2005-42,0.26
57,2005-43,0.28
58,2005-44,0.31
59,2005-45,0.37
60,2005-46,0.48
61,2005-47,0.65
62,2005-48,0.73
63,2005-49,0.72
64,2005-50,0.91
65,2005-51,1.03
66,2005-52,1.19
67,2006-01,1.28
68,2006-02,1.56
69,2006-03,1.83
70,2006-04,2.05
71,2006-05,2.3
72,2006-06,2.45
73,2006-07,2.51
74,2006-08,2.58
75,2006-09,2.6
76,2006-10,2.52
77,2006-11,2.68
78,2006-12,2.7
79,2006-13,2.25
80,2006-14,1.74
81,2006-15,1.14
82,2006-16,0.74
83,2006-17,0.48
84,2006-42,0.26
85,2006-43,0.27
86,2006-44,0.26
87,2006-45,0.43
88,2006-46,0.51
89,2006-47,0.53
90,2006-48,0.59
91,2006-49,0.65
92,2006-50,0.9
93,2006-51,1.11
94,2006-52,1.62
95,2007-01,1.81
96,2007-02,2.23
97,2007-03,3.11
98,2007-04,4.67
99,2007-05,6.21
100,2007-06,7.57
101,2007-07,7.69
102,2007-08,6.48
103,2007-09,4.63
104,2007-10,3.11
105,2007-11,2.24
106,2007-12,1.78
107,2007-13,1.36
108,2007-14,0.92
109,2007-15,0.71
110,2007-16,0.55
111,2007-17,0.31
112,2007-42,0.19
